Id; Source; Target; Weight
"(37, 34, 8, 37, 34, 34, 34, 16, 7)";"(37, 34, 8, 37, 34, 34, 34, 16, 7)";"(34, 8, 37, 34, 34, 34, 16, 7, 6)"; 21
"(34, 8, 37, 34, 34, 34, 16, 7, 6)";"(34, 8, 37, 34, 34, 34, 16, 7, 6)";"(8, 37, 34, 34, 34, 16, 7, 6, 30)"; 19
"(34, 8, 37, 34, 34, 34, 16, 7, 6)";"(34, 8, 37, 34, 34, 34, 16, 7, 6)";"(8, 37, 34, 34, 34, 16, 7, 6, 24)"; 1
"(34, 8, 37, 34, 34, 34, 16, 7, 6)";"(34, 8, 37, 34, 34, 34, 16, 7, 6)";"(8, 37, 34, 34, 34, 16, 7, 6, 8)"; 1
"(8, 37, 34, 34, 34, 16, 7, 6, 30)";"(8, 37, 34, 34, 34, 16, 7, 6, 30)";"(37, 34, 34, 34, 16, 7, 6, 30, 34)"; 19
"(37, 35, 34, 34, 34, 34, 7, 5, 0)";"(37, 35, 34, 34, 34, 34, 7, 5, 0)";"(-2, -2, -2, -2, -2, -2, -2, -2, -2)"; 2
"(35, 34, 34, 16, 16, 7, 44, 6, 15)";"(35, 34, 34, 16, 16, 7, 44, 6, 15)";"(34, 34, 16, 16, 7, 44, 6, 15, 8)"; 9
"(6, 8, 37, 35, 34, 34, 34, 34, 7)";"(6, 8, 37, 35, 34, 34, 34, 34, 7)";"(8, 37, 35, 34, 34, 34, 34, 7, 5)"; 2
"(8, 37, 35, 34, 34, 34, 34, 7, 5)";"(8, 37, 35, 34, 34, 34, 34, 7, 5)";"(37, 35, 34, 34, 34, 34, 7, 5, 0)"; 2
"(34, 41, 44, 6, 37, 50, 35, 15, 15)";"(34, 41, 44, 6, 37, 50, 35, 15, 15)";"(41, 44, 6, 37, 50, 35, 15, 15, 34)"; 6
"(34, 41, 44, 6, 37, 50, 35, 15, 15)";"(34, 41, 44, 6, 37, 50, 35, 15, 15)";"(41, 44, 6, 37, 50, 35, 15, 15, 8)"; 2
"(41, 44, 6, 37, 50, 35, 15, 15, 34)";"(41, 44, 6, 37, 50, 35, 15, 15, 34)";"(44, 6, 37, 50, 35, 15, 15, 34, 35)"; 6
"(44, 6, 37, 50, 35, 15, 15, 34, 35)";"(44, 6, 37, 50, 35, 15, 15, 34, 35)";"(6, 37, 50, 35, 15, 15, 34, 35, 16)"; 6
"(6, 37, 50, 35, 15, 15, 34, 35, 16)";"(6, 37, 50, 35, 15, 15, 34, 35, 16)";"(37, 50, 35, 15, 15, 34, 35, 16, 16)"; 6
"(37, 50, 35, 15, 15, 34, 35, 16, 16)";"(37, 50, 35, 15, 15, 34, 35, 16, 16)";"(50, 35, 15, 15, 34, 35, 16, 16, 7)"; 6
"(50, 35, 15, 15, 34, 35, 16, 16, 7)";"(50, 35, 15, 15, 34, 35, 16, 16, 7)";"(35, 15, 15, 34, 35, 16, 16, 7, 44)"; 6
"(35, 15, 15, 34, 35, 16, 16, 7, 44)";"(35, 15, 15, 34, 35, 16, 16, 7, 44)";"(15, 15, 34, 35, 16, 16, 7, 44, 6)"; 6
"(15, 15, 34, 35, 16, 16, 7, 44, 6)";"(15, 15, 34, 35, 16, 16, 7, 44, 6)";"(15, 34, 35, 16, 16, 7, 44, 6, 8)"; 4
"(15, 15, 34, 35, 16, 16, 7, 44, 6)";"(15, 15, 34, 35, 16, 16, 7, 44, 6)";"(15, 34, 35, 16, 16, 7, 44, 6, 15)"; 2
"(15, 34, 35, 16, 16, 7, 44, 6, 8)";"(15, 34, 35, 16, 16, 7, 44, 6, 8)";"(34, 35, 16, 16, 7, 44, 6, 8, 8)"; 3
"(15, 34, 35, 16, 16, 7, 44, 6, 8)";"(15, 34, 35, 16, 16, 7, 44, 6, 8)";"(34, 35, 16, 16, 7, 44, 6, 8, 15)"; 1
"(35, 34, 41, 44, 6, 37, 50, 35, 7)";"(35, 34, 41, 44, 6, 37, 50, 35, 7)";"(34, 41, 44, 6, 37, 50, 35, 7, 44)"; 2
"(34, 41, 44, 6, 37, 50, 35, 7, 44)";"(34, 41, 44, 6, 37, 50, 35, 7, 44)";"(41, 44, 6, 37, 50, 35, 7, 44, 6)"; 2
"(41, 44, 6, 37, 50, 35, 7, 44, 6)";"(41, 44, 6, 37, 50, 35, 7, 44, 6)";"(44, 6, 37, 50, 35, 7, 44, 6, 8)"; 2
"(44, 6, 37, 50, 35, 7, 44, 6, 8)";"(44, 6, 37, 50, 35, 7, 44, 6, 8)";"(6, 37, 50, 35, 7, 44, 6, 8, 8)"; 2
"(6, 37, 50, 35, 7, 44, 6, 8, 8)";"(6, 37, 50, 35, 7, 44, 6, 8, 8)";"(37, 50, 35, 7, 44, 6, 8, 8, 8)"; 2
"(37, 50, 35, 7, 44, 6, 8, 8, 8)";"(37, 50, 35, 7, 44, 6, 8, 8, 8)";"(50, 35, 7, 44, 6, 8, 8, 8, 15)"; 2
"(50, 35, 7, 44, 6, 8, 8, 8, 15)";"(50, 35, 7, 44, 6, 8, 8, 8, 15)";"(35, 7, 44, 6, 8, 8, 8, 15, 8)"; 2
"(35, 7, 44, 6, 8, 8, 8, 15, 8)";"(35, 7, 44, 6, 8, 8, 8, 15, 8)";"(7, 44, 6, 8, 8, 8, 15, 8, 37)"; 2
"(8, 8, 8, 15, 8, 37, 37, 34, 16)";"(8, 8, 8, 15, 8, 37, 37, 34, 16)";"(8, 8, 15, 8, 37, 37, 34, 16, 7)"; 2
"(8, 8, 15, 8, 37, 37, 34, 16, 7)";"(8, 8, 15, 8, 37, 37, 34, 16, 7)";"(8, 15, 8, 37, 37, 34, 16, 7, 6)"; 2
"(8, 15, 8, 37, 37, 34, 16, 7, 6)";"(8, 15, 8, 37, 37, 34, 16, 7, 6)";"(15, 8, 37, 37, 34, 16, 7, 6, 30)"; 2
"(15, 8, 37, 37, 34, 16, 7, 6, 30)";"(15, 8, 37, 37, 34, 16, 7, 6, 30)";"(8, 37, 37, 34, 16, 7, 6, 30, 7)"; 2
"(8, 37, 37, 34, 16, 7, 6, 30, 7)";"(8, 37, 37, 34, 16, 7, 6, 30, 7)";"(37, 37, 34, 16, 7, 6, 30, 7, 52)"; 2
"(37, 37, 34, 16, 7, 6, 30, 7, 52)";"(37, 37, 34, 16, 7, 6, 30, 7, 52)";"(37, 34, 16, 7, 6, 30, 7, 52, 6)"; 2
"(6, 30, 7, 6, 30, 7, 44, 6, 7)";"(6, 30, 7, 6, 30, 7, 44, 6, 7)";"(30, 7, 6, 30, 7, 44, 6, 7, 44)"; 1
"(30, 7, 6, 30, 7, 44, 6, 7, 44)";"(30, 7, 6, 30, 7, 44, 6, 7, 44)";"(7, 6, 30, 7, 44, 6, 7, 44, 6)"; 1
"(7, 6, 30, 7, 44, 6, 7, 44, 6)";"(7, 6, 30, 7, 44, 6, 7, 44, 6)";"(6, 30, 7, 44, 6, 7, 44, 6, 7)"; 1
"(6, 30, 7, 44, 6, 7, 44, 6, 7)";"(6, 30, 7, 44, 6, 7, 44, 6, 7)";"(30, 7, 44, 6, 7, 44, 6, 7, 52)"; 1
"(30, 7, 44, 6, 7, 44, 6, 7, 52)";"(30, 7, 44, 6, 7, 44, 6, 7, 52)";"(7, 44, 6, 7, 44, 6, 7, 52, 6)"; 1
"(7, 44, 6, 7, 44, 6, 7, 52, 6)";"(7, 44, 6, 7, 44, 6, 7, 52, 6)";"(44, 6, 7, 44, 6, 7, 52, 6, 8)"; 1
"(44, 6, 7, 44, 6, 7, 52, 6, 8)";"(44, 6, 7, 44, 6, 7, 52, 6, 8)";"(6, 7, 44, 6, 7, 52, 6, 8, 37)"; 1
"(6, 7, 44, 6, 7, 52, 6, 8, 37)";"(6, 7, 44, 6, 7, 52, 6, 8, 37)";"(7, 44, 6, 7, 52, 6, 8, 37, 30)"; 1
"(7, 44, 6, 7, 52, 6, 8, 37, 30)";"(7, 44, 6, 7, 52, 6, 8, 37, 30)";"(44, 6, 7, 52, 6, 8, 37, 30, 7)"; 1
"(44, 6, 7, 52, 6, 8, 37, 30, 7)";"(44, 6, 7, 52, 6, 8, 37, 30, 7)";"(6, 7, 52, 6, 8, 37, 30, 7, 5)"; 1
"(6, 7, 52, 6, 8, 37, 30, 7, 5)";"(6, 7, 52, 6, 8, 37, 30, 7, 5)";"(7, 52, 6, 8, 37, 30, 7, 5, 0)"; 1
"(7, 52, 6, 8, 37, 30, 7, 5, 0)";"(7, 52, 6, 8, 37, 30, 7, 5, 0)";"(52, 6, 8, 37, 30, 7, 5, 0, 4)"; 11
"(52, 6, 8, 37, 30, 7, 5, 0, 4)";"(52, 6, 8, 37, 30, 7, 5, 0, 4)";"(6, 8, 37, 30, 7, 5, 0, 4, 47)"; 11
"(6, 8, 37, 30, 7, 5, 0, 4, 47)";"(6, 8, 37, 30, 7, 5, 0, 4, 47)";"(8, 37, 30, 7, 5, 0, 4, 47, 48)"; 12
"(8, 37, 30, 7, 5, 0, 4, 47, 48)";"(8, 37, 30, 7, 5, 0, 4, 47, 48)";"(37, 30, 7, 5, 0, 4, 47, 48, 49)"; 12
"(37, 30, 7, 5, 0, 4, 47, 48, 49)";"(37, 30, 7, 5, 0, 4, 47, 48, 49)";"(30, 7, 5, 0, 4, 47, 48, 49, 47)"; 15
"(37, 7, 44, 6, 37, 7, 52, 6, 8)";"(37, 7, 44, 6, 37, 7, 52, 6, 8)";"(7, 44, 6, 37, 7, 52, 6, 8, 37)"; 25
"(7, 44, 6, 37, 7, 52, 6, 8, 37)";"(7, 44, 6, 37, 7, 52, 6, 8, 37)";"(44, 6, 37, 7, 52, 6, 8, 37, 37)"; 4
"(7, 44, 6, 37, 7, 52, 6, 8, 37)";"(7, 44, 6, 37, 7, 52, 6, 8, 37)";"(44, 6, 37, 7, 52, 6, 8, 37, 30)"; 10
"(7, 44, 6, 37, 7, 52, 6, 8, 37)";"(7, 44, 6, 37, 7, 52, 6, 8, 37)";"(44, 6, 37, 7, 52, 6, 8, 37, 35)"; 1
"(7, 44, 6, 37, 7, 52, 6, 8, 37)";"(7, 44, 6, 37, 7, 52, 6, 8, 37)";"(44, 6, 37, 7, 52, 6, 8, 37, 34)"; 10
"(44, 6, 37, 7, 52, 6, 8, 37, 37)";"(44, 6, 37, 7, 52, 6, 8, 37, 37)";"(6, 37, 7, 52, 6, 8, 37, 37, 30)"; 3
"(44, 6, 37, 7, 52, 6, 8, 37, 37)";"(44, 6, 37, 7, 52, 6, 8, 37, 37)";"(6, 37, 7, 52, 6, 8, 37, 37, 34)"; 1
"(6, 37, 7, 52, 6, 8, 37, 37, 30)";"(6, 37, 7, 52, 6, 8, 37, 37, 30)";"(37, 7, 52, 6, 8, 37, 37, 30, 7)"; 3
"(37, 7, 52, 6, 8, 37, 37, 30, 7)";"(37, 7, 52, 6, 8, 37, 37, 30, 7)";"(7, 52, 6, 8, 37, 37, 30, 7, 5)"; 3
"(7, 52, 6, 8, 37, 37, 30, 7, 5)";"(7, 52, 6, 8, 37, 37, 30, 7, 5)";"(52, 6, 8, 37, 37, 30, 7, 5, 0)"; 3
"(52, 6, 8, 37, 37, 30, 7, 5, 0)";"(52, 6, 8, 37, 37, 30, 7, 5, 0)";"(6, 8, 37, 37, 30, 7, 5, 0, 4)"; 3
"(6, 8, 37, 37, 30, 7, 5, 0, 4)";"(6, 8, 37, 37, 30, 7, 5, 0, 4)";"(8, 37, 37, 30, 7, 5, 0, 4, 47)"; 3
"(8, 37, 37, 30, 7, 5, 0, 4, 47)";"(8, 37, 37, 30, 7, 5, 0, 4, 47)";"(37, 37, 30, 7, 5, 0, 4, 47, 48)"; 3
"(37, 37, 30, 7, 5, 0, 4, 47, 48)";"(37, 37, 30, 7, 5, 0, 4, 47, 48)";"(37, 30, 7, 5, 0, 4, 47, 48, 49)"; 3
"(44, 6, 37, 7, 52, 6, 8, 37, 30)";"(44, 6, 37, 7, 52, 6, 8, 37, 30)";"(6, 37, 7, 52, 6, 8, 37, 30, 7)"; 10
"(6, 37, 7, 52, 6, 8, 37, 30, 7)";"(6, 37, 7, 52, 6, 8, 37, 30, 7)";"(37, 7, 52, 6, 8, 37, 30, 7, 5)"; 10
"(37, 7, 52, 6, 8, 37, 30, 7, 5)";"(37, 7, 52, 6, 8, 37, 30, 7, 5)";"(7, 52, 6, 8, 37, 30, 7, 5, 0)"; 10
"(34, 34, 34, 34, 34, 34, 7, 5, 0)";"(34, 34, 34, 34, 34, 34, 7, 5, 0)";"(-2, -2, -2, -2, -2, -2, -2, -2, -2)"; 8
"(37, 15, 8, 37, 8, 37, 35, 34, 16)";"(37, 15, 8, 37, 8, 37, 35, 34, 16)";"(15, 8, 37, 8, 37, 35, 34, 16, 16)"; 7
"(15, 8, 37, 8, 37, 35, 34, 16, 16)";"(15, 8, 37, 8, 37, 35, 34, 16, 16)";"(8, 37, 8, 37, 35, 34, 16, 16, 7)"; 7
"(8, 37, 8, 37, 35, 34, 16, 16, 7)";"(8, 37, 8, 37, 35, 34, 16, 16, 7)";"(37, 8, 37, 35, 34, 16, 16, 7, 44)"; 7
"(37, 8, 37, 35, 34, 16, 16, 7, 44)";"(37, 8, 37, 35, 34, 16, 16, 7, 44)";"(8, 37, 35, 34, 16, 16, 7, 44, 6)"; 7
"(6, 30, 34, 7, 52, 6, 8, 37, 35)";"(6, 30, 34, 7, 52, 6, 8, 37, 35)";"(30, 34, 7, 52, 6, 8, 37, 35, 15)"; 3
"(30, 34, 7, 52, 6, 8, 37, 35, 15)";"(30, 34, 7, 52, 6, 8, 37, 35, 15)";"(34, 7, 52, 6, 8, 37, 35, 15, 8)"; 3
"(34, 7, 52, 6, 8, 37, 35, 15, 8)";"(34, 7, 52, 6, 8, 37, 35, 15, 8)";"(7, 52, 6, 8, 37, 35, 15, 8, 37)"; 3
"(7, 52, 6, 8, 37, 35, 15, 8, 37)";"(7, 52, 6, 8, 37, 35, 15, 8, 37)";"(52, 6, 8, 37, 35, 15, 8, 37, 34)"; 2
"(7, 52, 6, 8, 37, 35, 15, 8, 37)";"(7, 52, 6, 8, 37, 35, 15, 8, 37)";"(52, 6, 8, 37, 35, 15, 8, 37, 37)"; 1
"(52, 6, 8, 37, 35, 15, 8, 37, 34)";"(52, 6, 8, 37, 35, 15, 8, 37, 34)";"(6, 8, 37, 35, 15, 8, 37, 34, 34)"; 1
"(52, 6, 8, 37, 35, 15, 8, 37, 34)";"(52, 6, 8, 37, 35, 15, 8, 37, 34)";"(6, 8, 37, 35, 15, 8, 37, 34, 37)"; 1
"(6, 8, 37, 35, 15, 8, 37, 34, 34)";"(6, 8, 37, 35, 15, 8, 37, 34, 34)";"(8, 37, 35, 15, 8, 37, 34, 34, 16)"; 1
"(6, 8, 37, 35, 15, 8, 37, 34, 34)";"(6, 8, 37, 35, 15, 8, 37, 34, 34)";"(8, 37, 35, 15, 8, 37, 34, 34, 34)"; 1
"(8, 37, 35, 15, 8, 37, 34, 34, 16)";"(8, 37, 35, 15, 8, 37, 34, 34, 16)";"(37, 35, 15, 8, 37, 34, 34, 16, 30)"; 1
"(37, 35, 15, 8, 37, 34, 34, 16, 30)";"(37, 35, 15, 8, 37, 34, 34, 16, 30)";"(35, 15, 8, 37, 34, 34, 16, 30, 34)"; 1
"(35, 15, 8, 37, 34, 34, 16, 30, 34)";"(35, 15, 8, 37, 34, 34, 16, 30, 34)";"(15, 8, 37, 34, 34, 16, 30, 34, 7)"; 1
"(15, 8, 37, 34, 34, 16, 30, 34, 7)";"(15, 8, 37, 34, 34, 16, 30, 34, 7)";"(8, 37, 34, 34, 16, 30, 34, 7, 5)"; 1
"(8, 37, 34, 34, 16, 30, 34, 7, 5)";"(8, 37, 34, 34, 16, 30, 34, 7, 5)";"(37, 34, 34, 16, 30, 34, 7, 5, 0)"; 1
"(37, 34, 34, 16, 30, 34, 7, 5, 0)";"(37, 34, 34, 16, 30, 34, 7, 5, 0)";"(34, 34, 16, 30, 34, 7, 5, 0, 4)"; 1
"(34, 34, 16, 30, 34, 7, 5, 0, 4)";"(34, 34, 16, 30, 34, 7, 5, 0, 4)";"(34, 16, 30, 34, 7, 5, 0, 4, 8)"; 1
"(34, 16, 30, 34, 7, 5, 0, 4, 8)";"(34, 16, 30, 34, 7, 5, 0, 4, 8)";"(16, 30, 34, 7, 5, 0, 4, 8, 8)"; 1
"(16, 30, 34, 7, 5, 0, 4, 8, 8)";"(16, 30, 34, 7, 5, 0, 4, 8, 8)";"(30, 34, 7, 5, 0, 4, 8, 8, 40)"; 1
"(30, 34, 7, 5, 0, 4, 8, 8, 40)";"(30, 34, 7, 5, 0, 4, 8, 8, 40)";"(34, 7, 5, 0, 4, 8, 8, 40, 37)"; 1
"(34, 7, 5, 0, 4, 8, 8, 40, 37)";"(34, 7, 5, 0, 4, 8, 8, 40, 37)";"(7, 5, 0, 4, 8, 8, 40, 37, 37)"; 1
"(44, 6, 37, 7, 52, 6, 8, 37, 35)";"(44, 6, 37, 7, 52, 6, 8, 37, 35)";"(6, 37, 7, 52, 6, 8, 37, 35, 34)"; 1
"(6, 37, 7, 52, 6, 8, 37, 35, 34)";"(6, 37, 7, 52, 6, 8, 37, 35, 34)";"(37, 7, 52, 6, 8, 37, 35, 34, 30)"; 1
"(37, 7, 52, 6, 8, 37, 35, 34, 30)";"(37, 7, 52, 6, 8, 37, 35, 34, 30)";"(7, 52, 6, 8, 37, 35, 34, 30, 34)"; 1
"(7, 52, 6, 8, 37, 35, 34, 30, 34)";"(7, 52, 6, 8, 37, 35, 34, 30, 34)";"(52, 6, 8, 37, 35, 34, 30, 34, 7)"; 1
"(52, 6, 8, 37, 35, 34, 30, 34, 7)";"(52, 6, 8, 37, 35, 34, 30, 34, 7)";"(6, 8, 37, 35, 34, 30, 34, 7, 5)"; 1
"(6, 8, 37, 35, 34, 30, 34, 7, 5)";"(6, 8, 37, 35, 34, 30, 34, 7, 5)";"(8, 37, 35, 34, 30, 34, 7, 5, 0)"; 1
"(8, 37, 35, 34, 30, 34, 7, 5, 0)";"(8, 37, 35, 34, 30, 34, 7, 5, 0)";"(37, 35, 34, 30, 34, 7, 5, 0, 4)"; 1
"(37, 35, 34, 30, 34, 7, 5, 0, 4)";"(37, 35, 34, 30, 34, 7, 5, 0, 4)";"(35, 34, 30, 34, 7, 5, 0, 4, 47)"; 1
"(35, 34, 30, 34, 7, 5, 0, 4, 47)";"(35, 34, 30, 34, 7, 5, 0, 4, 47)";"(34, 30, 34, 7, 5, 0, 4, 47, 48)"; 1
"(34, 30, 34, 7, 5, 0, 4, 47, 48)";"(34, 30, 34, 7, 5, 0, 4, 47, 48)";"(30, 34, 7, 5, 0, 4, 47, 48, 49)"; 1
"(30, 34, 7, 5, 0, 4, 47, 48, 49)";"(30, 34, 7, 5, 0, 4, 47, 48, 49)";"(34, 7, 5, 0, 4, 47, 48, 49, 47)"; 2
"(8, 37, 35, 34, 34, 34, 34, 34, 34)";"(8, 37, 35, 34, 34, 34, 34, 34, 34)";"(37, 35, 34, 34, 34, 34, 34, 34, 7)"; 8
"(8, 37, 35, 34, 34, 34, 34, 34, 34)";"(8, 37, 35, 34, 34, 34, 34, 34, 34)";"(37, 35, 34, 34, 34, 34, 34, 34, 16)"; 1
"(37, 35, 34, 34, 34, 34, 34, 34, 7)";"(37, 35, 34, 34, 34, 34, 34, 34, 7)";"(35, 34, 34, 34, 34, 34, 34, 7, 5)"; 8
"(35, 34, 34, 34, 34, 34, 34, 7, 5)";"(35, 34, 34, 34, 34, 34, 34, 7, 5)";"(34, 34, 34, 34, 34, 34, 7, 5, 0)"; 8
"(35, 34, 41, 44, 6, 37, 50, 35, 8)";"(35, 34, 41, 44, 6, 37, 50, 35, 8)";"(34, 41, 44, 6, 37, 50, 35, 8, 37)"; 5
"(35, 34, 41, 44, 6, 37, 50, 35, 8)";"(35, 34, 41, 44, 6, 37, 50, 35, 8)";"(34, 41, 44, 6, 37, 50, 35, 8, 8)"; 3
"(35, 34, 41, 44, 6, 37, 50, 35, 8)";"(35, 34, 41, 44, 6, 37, 50, 35, 8)";"(34, 41, 44, 6, 37, 50, 35, 8, 15)"; 2
"(34, 41, 44, 6, 37, 50, 35, 8, 37)";"(34, 41, 44, 6, 37, 50, 35, 8, 37)";"(41, 44, 6, 37, 50, 35, 8, 37, 13)"; 1
"(34, 41, 44, 6, 37, 50, 35, 8, 37)";"(34, 41, 44, 6, 37, 50, 35, 8, 37)";"(41, 44, 6, 37, 50, 35, 8, 37, 8)"; 1
"(34, 41, 44, 6, 37, 50, 35, 8, 37)";"(34, 41, 44, 6, 37, 50, 35, 8, 37)";"(41, 44, 6, 37, 50, 35, 8, 37, 34)"; 2
"(34, 41, 44, 6, 37, 50, 35, 8, 37)";"(34, 41, 44, 6, 37, 50, 35, 8, 37)";"(41, 44, 6, 37, 50, 35, 8, 37, 36)"; 1
"(41, 44, 6, 37, 50, 35, 8, 37, 13)";"(41, 44, 6, 37, 50, 35, 8, 37, 13)";"(44, 6, 37, 50, 35, 8, 37, 13, 15)"; 1
"(44, 6, 37, 50, 35, 8, 37, 13, 15)";"(44, 6, 37, 50, 35, 8, 37, 13, 15)";"(6, 37, 50, 35, 8, 37, 13, 15, 8)"; 1
"(6, 37, 50, 35, 8, 37, 13, 15, 8)";"(6, 37, 50, 35, 8, 37, 13, 15, 8)";"(37, 50, 35, 8, 37, 13, 15, 8, 37)"; 1
"(37, 50, 35, 8, 37, 13, 15, 8, 37)";"(37, 50, 35, 8, 37, 13, 15, 8, 37)";"(50, 35, 8, 37, 13, 15, 8, 37, 34)"; 1
"(50, 35, 8, 37, 13, 15, 8, 37, 34)";"(50, 35, 8, 37, 13, 15, 8, 37, 34)";"(35, 8, 37, 13, 15, 8, 37, 34, 35)"; 1
"(35, 8, 37, 13, 15, 8, 37, 34, 35)";"(35, 8, 37, 13, 15, 8, 37, 34, 35)";"(8, 37, 13, 15, 8, 37, 34, 35, 16)"; 1
"(8, 37, 13, 15, 8, 37, 34, 35, 16)";"(8, 37, 13, 15, 8, 37, 34, 35, 16)";"(37, 13, 15, 8, 37, 34, 35, 16, 14)"; 1
"(37, 13, 15, 8, 37, 34, 35, 16, 14)";"(37, 13, 15, 8, 37, 34, 35, 16, 14)";"(13, 15, 8, 37, 34, 35, 16, 14, 7)"; 1
"(13, 15, 8, 37, 34, 35, 16, 14, 7)";"(13, 15, 8, 37, 34, 35, 16, 14, 7)";"(15, 8, 37, 34, 35, 16, 14, 7, 44)"; 1
"(15, 8, 37, 34, 35, 16, 14, 7, 44)";"(15, 8, 37, 34, 35, 16, 14, 7, 44)";"(8, 37, 34, 35, 16, 14, 7, 44, 6)"; 1
"(8, 37, 34, 35, 16, 14, 7, 44, 6)";"(8, 37, 34, 35, 16, 14, 7, 44, 6)";"(37, 34, 35, 16, 14, 7, 44, 6, 8)"; 1
"(37, 34, 35, 16, 14, 7, 44, 6, 8)";"(37, 34, 35, 16, 14, 7, 44, 6, 8)";"(34, 35, 16, 14, 7, 44, 6, 8, 8)"; 1
"(34, 35, 16, 14, 7, 44, 6, 8, 8)";"(34, 35, 16, 14, 7, 44, 6, 8, 8)";"(35, 16, 14, 7, 44, 6, 8, 8, 8)"; 1
"(35, 16, 14, 7, 44, 6, 8, 8, 8)";"(35, 16, 14, 7, 44, 6, 8, 8, 8)";"(16, 14, 7, 44, 6, 8, 8, 8, 15)"; 1
"(16, 14, 7, 44, 6, 8, 8, 8, 15)";"(16, 14, 7, 44, 6, 8, 8, 8, 15)";"(14, 7, 44, 6, 8, 8, 8, 15, 8)"; 1
"(14, 7, 44, 6, 8, 8, 8, 15, 8)";"(14, 7, 44, 6, 8, 8, 8, 15, 8)";"(7, 44, 6, 8, 8, 8, 15, 8, 37)"; 2
"(34, 37, 34, 34, 34, 16, 7, 6, 34)";"(34, 37, 34, 34, 34, 16, 7, 6, 34)";"(37, 34, 34, 34, 16, 7, 6, 34, 30)"; 1
"(37, 34, 34, 34, 16, 7, 6, 34, 30)";"(37, 34, 34, 34, 16, 7, 6, 34, 30)";"(34, 34, 34, 16, 7, 6, 34, 30, 34)"; 1
"(34, 34, 34, 16, 7, 6, 34, 30, 34)";"(34, 34, 34, 16, 7, 6, 34, 30, 34)";"(34, 34, 16, 7, 6, 34, 30, 34, 7)"; 1
"(34, 34, 16, 7, 6, 34, 30, 34, 7)";"(34, 34, 16, 7, 6, 34, 30, 34, 7)";"(34, 16, 7, 6, 34, 30, 34, 7, 52)"; 1
"(34, 16, 7, 6, 34, 30, 34, 7, 52)";"(34, 16, 7, 6, 34, 30, 34, 7, 52)";"(16, 7, 6, 34, 30, 34, 7, 52, 6)"; 1
"(16, 7, 6, 34, 30, 34, 7, 52, 6)";"(16, 7, 6, 34, 30, 34, 7, 52, 6)";"(7, 6, 34, 30, 34, 7, 52, 6, 8)"; 1
"(7, 6, 34, 30, 34, 7, 52, 6, 8)";"(7, 6, 34, 30, 34, 7, 52, 6, 8)";"(6, 34, 30, 34, 7, 52, 6, 8, 37)"; 1
"(6, 34, 30, 34, 7, 52, 6, 8, 37)";"(6, 34, 30, 34, 7, 52, 6, 8, 37)";"(34, 30, 34, 7, 52, 6, 8, 37, 15)"; 1
"(34, 30, 34, 7, 52, 6, 8, 37, 15)";"(34, 30, 34, 7, 52, 6, 8, 37, 15)";"(30, 34, 7, 52, 6, 8, 37, 15, 8)"; 1
"(8, 37, 15, 8, 37, 37, 34, 34, 37)";"(8, 37, 15, 8, 37, 37, 34, 34, 37)";"(37, 15, 8, 37, 37, 34, 34, 37, 37)"; 1
"(8, 37, 15, 8, 37, 37, 34, 34, 37)";"(8, 37, 15, 8, 37, 37, 34, 34, 37)";"(37, 15, 8, 37, 37, 34, 34, 37, 34)"; 2
"(37, 15, 8, 37, 37, 34, 34, 37, 37)";"(37, 15, 8, 37, 37, 34, 34, 37, 37)";"(15, 8, 37, 37, 34, 34, 37, 37, 34)"; 1
"(15, 8, 37, 37, 34, 34, 37, 37, 34)";"(15, 8, 37, 37, 34, 34, 37, 37, 34)";"(8, 37, 37, 34, 34, 37, 37, 34, 34)"; 1
"(8, 37, 37, 34, 34, 37, 37, 34, 34)";"(8, 37, 37, 34, 34, 37, 37, 34, 34)";"(37, 37, 34, 34, 37, 37, 34, 34, 37)"; 1
"(37, 37, 34, 34, 37, 37, 34, 34, 37)";"(37, 37, 34, 34, 37, 37, 34, 34, 37)";"(37, 34, 34, 37, 37, 34, 34, 37, 16)"; 1
"(37, 34, 34, 37, 37, 34, 34, 37, 16)";"(37, 34, 34, 37, 37, 34, 34, 37, 16)";"(34, 34, 37, 37, 34, 34, 37, 16, 30)"; 1
"(34, 34, 37, 37, 34, 34, 37, 16, 30)";"(34, 34, 37, 37, 34, 34, 37, 16, 30)";"(34, 37, 37, 34, 34, 37, 16, 30, 7)"; 1
"(34, 37, 37, 34, 34, 37, 16, 30, 7)";"(34, 37, 37, 34, 34, 37, 16, 30, 7)";"(37, 37, 34, 34, 37, 16, 30, 7, 5)"; 1
"(37, 37, 34, 34, 37, 16, 30, 7, 5)";"(37, 37, 34, 34, 37, 16, 30, 7, 5)";"(37, 34, 34, 37, 16, 30, 7, 5, 0)"; 1
"(37, 34, 34, 37, 16, 30, 7, 5, 0)";"(37, 34, 34, 37, 16, 30, 7, 5, 0)";"(34, 34, 37, 16, 30, 7, 5, 0, 4)"; 1
"(34, 34, 37, 16, 30, 7, 5, 0, 4)";"(34, 34, 37, 16, 30, 7, 5, 0, 4)";"(34, 37, 16, 30, 7, 5, 0, 4, 8)"; 2
"(34, 37, 16, 30, 7, 5, 0, 4, 8)";"(34, 37, 16, 30, 7, 5, 0, 4, 8)";"(37, 16, 30, 7, 5, 0, 4, 8, 8)"; 4
